chr,start,end,width,transcriptID,geneSymbol,meth.diff,qvalue
36,chr1,241519948,241520749,802,RGS7,48.078014,0.00130195
37,chr1,241519981,241520386,406,RGS7,-28.59787734,0.001874176
38,chr1,245317291,245318009,719,KIF26B,30.66281495,0.0031306
39,chr1,1309476,1309641,166,AURKAIP1,43.7458892,3.05E-07
40,chr1,2488289,2488502,214,TNFRSF14,-43.79036507,9.70E-05
41,chr1,3527730,3528026,297,MEGF6,46.89138515,1.04E-06
42,chr1,3773877,3774517,641,DFFB,36.87959981,3.70E-05
43,chr1,3773877,3774517,641,DFFB,36.87959981,3.70E-05
44,chr1,3773877,3774517,641,DFFB,36.87959981,3.70E-05
45,chr1,4714464,4715623,1160,AJAP1,28.26376119,0.000147591
46,chr1,4714464,4715623,1160,AJAP1,28.26376119,0.000147591
47,chr1,6106455,6106567,113,KCNAB2,51.49387089,0.000382652
48,chr1,6053640,6053753,114,KCNAB2,46.36623777,4.59E-07
49,chr1,6106455,6106567,113,KCNAB2,51.49387089,0.000382652
50,chr1,6053640,6053753,114,NPHP4,46.36623777,4.59E-07
51,chr1,7844058,7844597,540,PER3,45.12555973,0.000609303
52,chr1,12123591,12123812,222,TNFRSF8,47.45964934,1.85E-05
53,chr1,12123591,12123812,222,TNFRSF8,47.45964934,1.85E-05
54,chr1,14924829,14925949,1121,KAZN,40.52608566,0.000230179
55,chr1,15573815,15574218,404,FHAD1,36.30065936,3.55E-05
56,chr1,15250410,15250593,184,KAZN,28.77044164,1.31E-05
57,chr1,14924829,14925949,1121,KAZN,40.52608566,0.000230179
58,chr1,17445808,17446198,391,PADI2,39.33302069,3.66E-11
59,chr1,18434270,18434853,584,IGSF21,39.18145481,5.95E-05
60,chr1,18435640,18435778,139,IGSF21,40.79917435,3.72E-05
61,chr1,18957474,18957807,334,PAX7,35.67607145,0.000191792
62,chr1,18957474,18957807,334,PAX7,35.67607145,0.000191792
63,chr1,18957474,18957807,334,PAX7,35.67607145,0.000191792
64,chr1,19810917,19811082,166,CAPZB,40.51902564,1.71E-05
65,chr1,19810917,19811082,166,CAPZB,40.51902564,1.71E-05
66,chr1,19810917,19811082,166,CAPZB,40.51902564,1.71E-05
67,chr1,19810917,19811082,166,CAPZB,40.51902564,1.71E-05
68,chr1,21835652,21836213,562,ALPL,42.0955843,3.58E-10
69,chr1,21835652,21836213,562,ALPL,42.0955843,3.58E-10
70,chr1,21835652,21836213,562,ALPL,42.0955843,3.58E-10
71,chr1,21671385,21672170,786,ECE1,23.71197881,0.001374169
72,chr1,24513541,24514253,713,IFNLR1,43.80290859,5.96E-05
73,chr1,24513541,24514253,713,IFNLR1,43.80290859,5.96E-05
74,chr1,24882439,24882678,240,NCMAP,31.22505954,9.13E-05
75,chr1,24513541,24514253,713,IFNLR1,43.80290859,5.96E-05
76,chr1,25944101,25944657,557,MAN1C1,33.0580131,2.05E-05
77,chr1,26737818,26738300,483,LIN28A,32.44313321,0.002608289
78,chr1,37498308,37499062,755,GRIK3,48.21065813,5.17E-06
79,chr1,37499517,37500031,515,GRIK3,44.57914139,0.000212307
80,chr1,37500433,37500617,185,GRIK3,35.83124762,0.000156928
81,chr1,40253875,40254116,242,BMP8B,40.58127862,0.000184305
82,chr1,40254390,40254867,478,BMP8B,39.86712837,1.13E-06
83,chr1,42846060,42846780,721,RIMKLA,34.72737058,0.002328658
84,chr1,45956460,45957015,556,TESK2,42.487375,6.87E-06
85,chr1,57044056,57044268,213,PPAP2B,-23.4097511,7.46E-05
86,chr1,60280450,60281034,585,HOOK1,34.92605784,3.22E-06
87,chr1,62207864,62208461,598,INADL,50.62433884,7.29E-08
88,chr1,62784656,62784973,318,KANK4,51.2356375,4.99E-07
89,chr1,63783344,63783403,60,LINC00466,44.39286825,2.19E-05
90,chr1,65775140,65775261,122,DNAJC6,48.81454914,1.55E-06
91,chr1,65775554,65775660,107,DNAJC6,35.09890203,5.67E-06
92,chr1,66258652,66258741,90,PDE4B,55.64141577,2.16E-07
93,chr1,66258652,66258741,90,PDE4B,55.64141577,2.16E-07
94,chr1,68696630,68697009,380,WLS,40.41765078,0.000303032
95,chr1,68696630,68697009,380,WLS,40.41765078,0.000303032
96,chr1,68696630,68697009,380,WLS,40.41765078,0.000303032
97,chr1,70385268,70385487,220,PIN1P1,-31.91746435,1.16E-05
98,chr1,70819746,70819783,38,ANKRD13C,32.84050179,0.001507175
99,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
100,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
101,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
102,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
103,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
104,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
105,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
106,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
107,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
108,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
109,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
110,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
111,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
112,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
113,chr1,71512484,71512625,142,PTGER3,42.43363542,5.49E-10
114,chr1,71512956,71513288,333,PTGER3,32.3161576,3.26E-05
115,chr1,77333952,77334878,927,ST6GALNAC5,-20.58859298,0.000543035
116,chr1,77747373,77747990,618,AK5,32.87694944,0.000120402
117,chr1,77747373,77747990,618,AK5,32.87694944,0.000120402
118,chr1,82266029,82266070,42,LPHN2,47.95660745,2.61E-09
119,chr1,82266416,82266642,227,LPHN2,40.09715755,2.07E-06
120,chr1,85463256,85463405,150,MCOLN2,45.97470674,9.47E-09
121,chr1,85463888,85463934,47,MCOLN2,70.12230274,5.30E-12
122,chr1,85462634,85463406,773,MCOLN2,-30.99471,3.37E-05
123,chr1,91870034,91870339,306,HFM1,28.67536306,2.84E-05
124,chr1,95285631,95286060,430,LINC01057,42.3126808,0.000570905
125,chr1,95285631,95286060,430,SLC44A3,42.3126808,0.000570905
126,chr1,95285631,95286060,430,SLC44A3,42.3126808,0.000570905
127,chr1,95285631,95286060,430,SLC44A3,42.3126808,0.000570905
128,chr1,95285631,95286060,430,SLC44A3,42.3126808,0.000570905
129,chr1,95285631,95286060,430,SLC44A3,42.3126808,0.000570905
130,chr1,95285631,95286060,430,SLC44A3,42.3126808,0.000570905
131,chr1,99470007,99470610,604,LOC100129620,36.49170572,0.003032857
132,chr1,100816605,100816720,116,CDC14A,35.49773229,1.42E-05
133,chr1,100816605,100816720,116,CDC14A,35.49773229,1.42E-05
134,chr1,100816605,100816720,116,CDC14A,35.49773229,1.42E-05
135,chr1,102462042,102462138,97,OLFM3,55.20872805,3.05E-08
136,chr1,109849592,109849706,115,MYBPHL,-29.84529362,1.36E-05
137,chr1,109849592,109849706,115,MYBPHL,-29.84529362,1.36E-05
138,chr1,110753397,110753841,445,KCNC4,20.21686966,0.002102101
139,chr1,110753397,110753841,445,KCNC4,20.21686966,0.002102101
140,chr1,110753397,110753841,445,KCNC4,20.21686966,0.002102101
141,chr1,112531560,112532145,586,KCND3,33.33397131,7.12E-05
142,chr1,112532913,112533765,853,KCND3,43.39088049,0.000743101
143,chr1,112531589,112532134,546,KCND3,-30.23915571,1.29E-05
144,chr1,112531560,112532145,586,KCND3,33.33397131,7.12E-05
145,chr1,112532913,112533765,853,KCND3,43.39088049,0.000743101
146,chr1,112531589,112532134,546,KCND3,-30.23915571,1.29E-05
147,chr1,115212361,115212419,59,DENND2C,34.7222972,4.21E-05
148,chr1,115212361,115212419,59,DENND2C,34.7222972,4.21E-05
149,chr1,114695255,114695533,279,SYT6,43.06192741,7.46E-07
150,chr1,114695857,114696654,798,SYT6,40.86933979,2.60E-05
151,chr1,114695718,114695805,88,SYT6,-31.00744536,0.000445199
152,chr1,114695255,114695533,279,SYT6,43.06192741,7.46E-07
153,chr1,114695857,114696654,798,SYT6,40.86933979,2.60E-05
154,chr1,114695718,114695805,88,SYT6,-31.00744536,0.000445199
155,chr1,115880729,115881506,778,NGF,36.64147076,4.24E-06
156,chr1,115631968,115632288,321,TSPAN2,38.38541191,6.56E-06
157,chr1,115632576,115632728,153,TSPAN2,42.4452862,0.000113358
158,chr1,116915320,116915506,187,ATP1A1,24.58990421,0.00022905
159,chr1,117209838,117209954,117,IGSF3,31.52708119,2.77E-07
160,chr1,117209838,117209954,117,IGSF3,31.52708119,2.77E-07
161,chr1,153894338,153894435,98,GATAD2B,46.27206672,2.37E-10
162,chr1,155052674,155053712,1039,EFNA3,44.7232648,0.000802182
163,chr1,160039819,160040412,594,KCNJ10,36.4326761,2.58E-06
164,chr1,162039754,162040052,299,NOS1AP,29.63651197,3.82E-05
165,chr1,162039754,162040052,299,NOS1AP,29.63651197,3.82E-05
166,chr1,165325238,165326314,1077,LMX1A,38.92258496,1.42E-05
167,chr1,165325238,165326314,1077,LMX1A,38.92258496,1.42E-05
168,chr1,167599616,167599864,249,RCSD1,37.47831125,0.000743166
169,chr1,170633423,170633872,450,PRRX1,31.44255257,0.000431944
170,chr1,170633423,170633872,450,PRRX1,31.44255257,0.000431944
171,chr1,177133441,177133959,519,ASTN1,51.45230956,1.58E-12
172,chr1,177133441,177133959,519,ASTN1,51.45230956,1.58E-12
173,chr1,178006978,178007284,307,LOC730102,56.34415564,2.04E-08
174,chr1,180198155,180198694,540,LHX4,38.64396911,0.000384287
175,chr1,179560770,179560980,211,TDRD5,42.9523315,0.000103159
176,chr1,179560770,179560980,211,TDRD5,42.9523315,0.000103159
177,chr1,179560770,179560980,211,TDRD5,42.9523315,0.000103159
178,chr1,179560770,179560980,211,TDRD5,42.9523315,0.000103159
179,chr1,181451942,181451996,55,CACNA1E,28.53290851,0.000470677
180,chr1,181451942,181451996,55,CACNA1E,28.53290851,0.000470677
181,chr1,181451942,181451996,55,CACNA1E,28.53290851,0.000470677
182,chr1,183386947,183387148,202,NMNAT2,32.98580377,0.000359935
183,chr1,183387495,183387577,83,NMNAT2,41.52548003,4.58E-07
184,chr1,197744383,197744847,465,DENND1B,30.87532707,0.000351706
185,chr1,197744383,197744847,465,DENND1B,30.87532707,0.000351706
186,chr1,200011640,200012003,364,NR5A2,38.14942992,0.000189705
187,chr1,201083287,201084375,1089,CACNA1S,27.75264809,4.96E-05
188,chr1,202183278,202183627,350,LGR6,50.51020753,3.50E-07
189,chr1,202163364,202163474,111,LGR6,31.67871734,7.85E-05
190,chr1,204328844,204329223,380,PLEKHA6,41.65318614,7.12E-07
191,chr1,204043697,204044471,775,SOX13,42.3650193,3.05E-06
192,chr1,204654357,204655019,663,LRRN2,47.38089685,8.22E-05
193,chr1,204654357,204655019,663,LRRN2,47.38089685,8.22E-05
194,chr1,206680958,206681257,300,RASSF5,44.71019907,2.73E-06
195,chr1,206680958,206681257,300,RASSF5,44.71019907,2.73E-06
196,chr1,207818529,207818832,304,CR1L,42.39896997,9.06E-07
197,chr1,208416507,208417004,498,PLXNA2,26.19524936,0.003497267
198,chr1,210111211,210111559,349,SYT14,29.20202377,5.49E-06
199,chr1,210111211,210111559,349,SYT14,29.20202377,5.49E-06
200,chr1,210111211,210111559,349,SYT14,29.20202377,5.49E-06
201,chr1,210111211,210111559,349,SYT14,29.20202377,5.49E-06
202,chr1,210111211,210111559,349,SYT14,29.20202377,5.49E-06
203,chr1,210111211,210111559,349,SYT14,29.20202377,5.49E-06
204,chr1,215256153,215256479,327,KCNK2,49.25268358,6.25E-07
205,chr1,215256153,215256479,327,KCNK2,49.25268358,6.25E-07
206,chr1,220960164,220960555,392,1-Mar,27.95935927,0.001014109
207,chr1,223537791,223538041,251,SUSD4,31.52668597,5.79E-05
208,chr1,223537791,223538041,251,SUSD4,31.52668597,5.79E-05
209,chr1,224804225,224804408,184,CNIH3,29.250147,9.70E-06
210,chr1,224804895,224805278,384,CNIH3,47.99670429,0.000144838
211,chr1,226736481,226737225,745,C1orf95,28.39706756,0.000388013
212,chr1,226926140,226926522,383,ITPKB,36.49140396,0.000845126
213,chr1,226926944,226926968,25,ITPKB,64.34083397,7.23E-07
214,chr1,228194430,228194766,337,WNT3A,39.03897441,2.24E-05
215,chr1,228395803,228396010,208,OBSCN,38.26355341,1.11E-05
216,chr1,228395803,228396010,208,OBSCN,38.26355341,1.11E-05
217,chr1,228395803,228396010,208,OBSCN,38.26355341,1.11E-05
218,chr1,230561223,230561796,574,PGBD5,38.01201113,0.000611401
219,chr1,230562410,230562471,62,PGBD5,35.2361478,1.39E-06
220,chr1,231297913,231299671,1759,TRIM67,39.40442375,0.001575124
221,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
222,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
223,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
224,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
225,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
226,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
227,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
228,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
229,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
230,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
231,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
232,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
233,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
234,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
235,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
236,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
237,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
238,chr1,231762924,231762990,67,DISC1,45.43192397,4.56E-05
239,chr1,234040377,234040715,339,SLC35F3,33.43141546,5.26E-05
240,chr1,235815802,235815866,65,GNG4,32.69119345,1.50E-05
241,chr1,235815802,235815866,65,GNG4,32.69119345,1.50E-05
242,chr1,236227279,236228707,1429,NID1,39.05456843,0.00065197
243,chr1,237206275,237206519,245,RYR2,29.08587507,0.002412959
244,chr1,242687062,242687412,351,PLD5,48.18321787,9.31E-05
245,chr1,242687714,242687766,53,PLD5,35.53009305,2.46E-05
246,chr1,244624520,244624742,223,C1orf101,31.38333575,0.009515897
247,chr1,244624520,244624742,223,C1orf101,31.38333575,0.009515897
248,chr1,244624520,244624742,223,C1orf101,31.38333575,0.009515897
249,chr1,853794,853926,133,LOC100130417,43.66872254,8.66E-08
250,chr1,859085,859330,246,SAMD11,39.58852426,1.61E-06
251,chr1,1007899,1008236,338,RNF223,25.57988443,0.000541853
252,chr1,1141558,1142255,698,TNFRSF18,31.18973162,0.00314314
253,chr1,1141558,1142255,698,TNFRSF18,31.18973162,0.00314314
254,chr1,1102388,1103405,1018,MIR429,26.69853002,0.00063341
255,chr1,1104109,1105105,997,MIR429,40.84487301,5.51E-11
256,chr1,1072028,1072096,69,LOC254099,34.92063492,0.000146155
257,chr1,1072705,1072829,125,LOC254099,33.94387542,0.001383125
258,chr1,1141558,1142255,698,TNFRSF18,31.18973162,0.00314314
259,chr1,1148229,1148443,215,TNFRSF4,24.03848638,0.001195202
260,chr1,1100855,1101303,449,MIR200A,41.23271461,3.42E-05
261,chr1,1102388,1103405,1018,MIR200A,26.69853002,0.00063341
262,chr1,1104109,1105105,997,MIR200A,40.84487301,5.51E-11
263,chr1,1100855,1101303,449,MIR200B,41.23271461,3.42E-05
264,chr1,1102388,1103405,1018,MIR200B,26.69853002,0.00063341
265,chr1,1104109,1105105,997,MIR200B,40.84487301,5.51E-11
266,chr1,1108859,1109673,815,TTLL10,-32.78950995,4.20E-05
267,chr1,1261303,1261365,63,CPSF3L,33.70571024,9.06E-07
268,chr1,1309476,1309641,166,AURKAIP1,43.7458892,3.05E-07
269,chr1,1266235,1266658,424,TAS1R3,-54.13752305,1.19E-05
270,chr1,1261303,1261365,63,CPSF3L,33.70571024,9.06E-07
271,chr1,1261303,1261365,63,CPSF3L,33.70571024,9.06E-07
272,chr1,1217047,1217467,421,SCNN1D,23.7364982,0.001216639
273,chr1,1244139,1245220,1082,ACAP3,27.33421783,0.000967656
274,chr1,1244139,1245220,1082,PUSL1,27.33421783,0.000967656
275,chr1,1217047,1217467,421,SCNN1D,23.7364982,0.001216639
276,chr1,1309476,1309641,166,AURKAIP1,43.7458892,3.05E-07
277,chr1,1261303,1261365,63,CPSF3L,33.70571024,9.06E-07
278,chr1,1261303,1261365,63,CPSF3L,33.70571024,9.06E-07
279,chr1,1261303,1261365,63,GLTPD1,33.70571024,9.06E-07
280,chr1,1371039,1371703,665,VWA1,36.29090403,1.29E-05
281,chr1,1341655,1342583,929,MRPL20,30.35958966,0.000313061
282,chr1,1371039,1371703,665,VWA1,36.29090403,1.29E-05
283,chr1,1549884,1550081,198,MIB2,61.39880952,4.39E-06
284,chr1,1549884,1550081,198,MIB2,61.39880952,4.39E-06
285,chr1,1549884,1550081,198,MIB2,61.39880952,4.39E-06
286,chr1,1535746,1536055,310,C1orf233,33.8227617,0.00019792
287,chr1,1549884,1550081,198,MIB2,61.39880952,4.39E-06
288,chr1,1549884,1550081,198,MIB2,61.39880952,4.39E-06
289,chr1,1549884,1550081,198,MIB2,61.39880952,4.39E-06
290,chr1,1950417,1950566,150,GABRD,51.67986808,6.36E-05
291,chr1,1950868,1951421,554,GABRD,42.57446242,4.08E-06
292,chr1,1934972,1935536,565,KIAA1751,30.88509588,0.000568579
293,chr1,1936306,1936685,380,KIAA1751,50.18176595,7.75E-08
294,chr1,2143968,2144462,495,C1orf86,-37.6064881,4.82E-07
295,chr1,2143968,2144462,495,C1orf86,-37.6064881,4.82E-07
296,chr1,2344515,2344672,158,PEX10,46.86726999,9.66E-07
297,chr1,2282545,2282641,97,LOC100129534,29.28408853,7.84E-06
298,chr1,2344515,2344672,158,PEX10,46.86726999,9.66E-07
299,chr1,2408516,2408900,385,PLCH2,-40.70018836,2.82E-11
300,chr1,2488289,2488502,214,LOC100133445,-43.79036507,9.70E-05
301,chr1,2490081,2490220,140,LOC100133445,-31.52550724,0.000223465
302,chr1,2938953,2939260,308,ACTRT2,41.20535488,1.26E-08
303,chr1,3663622,3663905,284,TP73-AS1,31.3397353,0.000414272
304,chr1,3663622,3663905,284,TP73-AS1,31.3397353,0.000414272
305,chr1,3606050,3606155,106,TP73,39.97609825,8.69E-06
306,chr1,3607361,3607460,100,TP73,44.16747956,0.000104893
307,chr1,3606050,3606155,106,TP73,39.97609825,8.69E-06
308,chr1,3607361,3607460,100,TP73,44.16747956,0.000104893
309,chr1,3568183,3569071,889,TP73,40.21607757,0.001205816
310,chr1,3568183,3569071,889,TP73,40.21607757,0.001205816
311,chr1,3568183,3569071,889,TP73,40.21607757,0.001205816
312,chr1,3568183,3569071,889,TP73,40.21607757,0.001205816
313,chr1,3606050,3606155,106,TP73,39.97609825,8.69E-06
314,chr1,3607361,3607460,100,TP73,44.16747956,0.000104893
315,chr1,3606050,3606155,106,TP73,39.97609825,8.69E-06
316,chr1,3607361,3607460,100,TP73,44.16747956,0.000104893
317,chr1,3568183,3569071,889,TP73,40.21607757,0.001205816
318,chr1,3568183,3569071,889,WRAP73,40.21607757,0.001205816
319,chr1,3606050,3606155,106,TP73,39.97609825,8.69E-06
320,chr1,3607361,3607460,100,TP73,44.16747956,0.000104893
321,chr1,3568183,3569071,889,TP73,40.21607757,0.001205816
322,chr1,3606050,3606155,106,TP73,39.97609825,8.69E-06
323,chr1,3607361,3607460,100,TP73,44.16747956,0.000104893
324,chr1,3663622,3663905,284,TP73-AS1,31.3397353,0.000414272
325,chr1,3663622,3663905,284,TP73-AS1,31.3397353,0.000414272
326,chr1,3663622,3663905,284,TP73-AS1,31.3397353,0.000414272
327,chr1,3688687,3689744,1058,SMIM1,33.69183607,7.86E-05
328,chr1,3773877,3774517,641,CEP104,36.87959981,3.70E-05
329,chr1,3712486,3713085,600,LRRC47,31.84028943,5.71E-05
330,chr1,6239363,6240776,1414,CHD5,50.98521042,4.22E-07
331,chr1,6302065,6302678,614,HES3,47.37043135,2.32E-06
332,chr1,6321396,6321756,361,GPR153,35.84444666,1.28E-06
333,chr1,6479252,6480054,803,HES2,44.15542176,1.65E-05
334,chr1,6675272,6675353,82,PHF13,30.83907925,1.49E-05
335,chr1,6685629,6685810,182,THAP3,33.23715282,0.000829597
336,chr1,6685629,6685810,182,THAP3,33.23715282,0.000829597
337,chr1,6685629,6685810,182,THAP3,33.23715282,0.000829597
338,chr1,9352542,9352683,142,SPSB1,26.83596082,6.47E-05
339,chr1,9711807,9712557,751,PIK3CD,34.13622311,1.07E-06
340,chr1,10057161,10058196,1036,RBP7,32.08809301,0.000327588
341,chr1,10458591,10458728,138,PGD,36.67105648,5.73E-10
342,chr1,11333778,11333986,209,UBIAD1,41.35662086,9.13E-08
343,chr1,11539996,11540311,316,PTCHD2,36.66871012,0.000327588
344,chr1,11740415,11740509,95,MAD2L2,34.11344753,1.50E-06
345,chr1,11751903,11752348,446,DRAXIN,28.96577171,0.002776319
346,chr1,11714947,11715155,209,FBXO44,37.12111344,2.74E-05
347,chr1,11714947,11715155,209,FBXO2,37.12111344,2.74E-05
348,chr1,11714947,11715155,209,FBXO44,37.12111344,2.74E-05
349,chr1,11714947,11715155,209,FBXO44,37.12111344,2.74E-05
350,chr1,11751903,11752348,446,MAD2L2,28.96577171,0.002776319
351,chr1,11714947,11715155,209,FBXO44,37.12111344,2.74E-05
352,chr1,11918806,11919404,599,NPPB,37.7176197,0.000121096
353,chr1,12226836,12227503,668,TNFRSF1B,42.10711947,1.20E-05
354,chr1,13839848,13840588,741,LRRC38,47.59770514,3.42E-06
355,chr1,14026509,14027114,606,PRDM2,27.94331032,0.000211173
356,chr1,15911093,15911607,515,AGMAT,25.44519675,8.78E-05
357,chr1,16085725,16086025,301,FBLIM1,49.63741975,0.000205813
358,chr1,18808324,18808559,236,KLHDC7A,42.67992728,1.99E-07
359,chr1,18808833,18809852,1020,KLHDC7A,35.34534787,0.00128121
360,chr1,19228515,19228546,32,ALDH4A1,47.14813369,1.99E-06
361,chr1,19228515,19228546,32,ALDH4A1,47.14813369,1.99E-06
362,chr1,19991062,19991846,785,HTR6,38.25541279,0.000864458
363,chr1,20140859,20141611,753,RNF186,36.85347213,5.14E-05
364,chr1,20812968,20813199,232,CAMK2N1,36.62773267,0.000579556
365,chr1,20878929,20879851,923,FAM43B,47.32359789,0.0013412
366,chr1,20880204,20880519,316,FAM43B,54.25711713,2.30E-08
367,chr1,21044451,21044589,139,KIF17,24.38119811,0.002083978
368,chr1,21044451,21044589,139,KIF17,24.38119811,0.002083978
369,chr1,22468819,22469460,642,WNT4,32.16713283,0.000192575
370,chr1,22469856,22470378,523,WNT4,33.93832535,0.001831419
371,chr1,22889728,22890524,797,EPHA8,39.70594734,0.000349618
372,chr1,22889728,22890524,797,EPHA8,39.70594734,0.000349618
373,chr1,22970512,22970634,123,C1QC,36.96263675,1.81E-07
374,chr1,22970512,22970634,123,C1QC,36.96263675,1.81E-07
375,chr1,23809993,23810049,57,ASAP3,56.46691176,1.40E-05
376,chr1,23809993,23810049,57,ASAP3,56.46691176,1.40E-05
377,chr1,24194344,24194903,560,FUCA1,28.90589782,0.000539801
378,chr1,25255777,25257297,1521,RUNX3,21.08895897,0.005001675
379,chr1,25558613,25558664,52,SYF2,29.70205058,9.65E-06
380,chr1,25558613,25558664,52,SYF2,29.70205058,9.65E-06
381,chr1,25870821,25870897,77,LDLRAP1,38.32746296,7.92E-08
382,chr1,26324066,26324089,24,PAFAH2,87.27344839,2.14E-28
383,chr1,26371897,26372791,895,SLC30A2,44.00057642,0.000431418
384,chr1,26373062,26373408,347,SLC30A2,45.01552338,1.76E-07
385,chr1,26371897,26372791,895,SLC30A2,44.00057642,0.000431418
386,chr1,26373062,26373408,347,SLC30A2,45.01552338,1.76E-07
387,chr1,26503949,26504065,117,CNKSR1,38.82203014,6.76E-07
388,chr1,26503949,26504065,117,CNKSR1,38.82203014,6.76E-07
389,chr1,27286282,27287046,765,C1orf172,24.57392425,0.000922309
390,chr1,27960677,27960960,284,FGR,27.73802904,0.00052124
391,chr1,27961007,27961018,12,FGR,-54.53838497,2.76E-06
392,chr1,28199031,28199693,663,THEMIS2,40.31911688,2.30E-05
393,chr1,28199031,28199693,663,THEMIS2,40.31911688,2.30E-05
394,chr1,28199031,28199693,663,THEMIS2,40.31911688,2.30E-05
395,chr1,28586935,28587045,111,SESN2,37.34254382,8.23E-09
396,chr1,29138518,29139112,595,OPRD1,54.34953467,6.67E-07
397,chr1,29450560,29451605,1046,TMEM200B,-27.87158059,0.001211702
398,chr1,29450560,29451605,1046,TMEM200B,-27.87158059,0.001211702
399,chr1,31380801,31381137,337,SDC3,27.8016464,0.002605831
400,chr1,31712189,31712752,564,NKAIN1,25.1192398,0.001161364
401,chr1,31885819,31885905,87,SERINC2,46.01215226,0.000626894
402,chr1,31886176,31886537,362,SERINC2,24.40955513,0.001248629
403,chr1,31885819,31885905,87,SERINC2,46.01215226,0.000626894
404,chr1,31886176,31886537,362,SERINC2,24.40955513,0.001248629
