Click,UniqueClick,Name,Price,Rank,SpecialOffer,Rating,Windows,SiteBuilder,Shopping,Mailboxes,Spam,FTPManager,FTPaccounts,Webchat,UserForums
425,386,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
370,321,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
363,318,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
587,510,Arvixe,3.2,1,1,1,1,1,1,1,1,1,1,1,1
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
50,46,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
116,95,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
103,91,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
104,92,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
96,87,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
89,84,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
113,108,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
106,99,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
95,92,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
99,91,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
94,88,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
84,74,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
90,77,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
105,93,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
109,95,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
114,106,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
130,116,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
124,111,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
77,71,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
99,93,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
162,149,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
145,132,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
175,148,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
137,125,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
140,123,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
114,106,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
108,99,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
135,129,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
138,122,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
101,94,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
124,113,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
114,103,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
96,89,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
102,95,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
143,125,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
134,122,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
157,145,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
133,122,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
102,93,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
94,83,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
91,83,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
113,105,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
137,128,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
149,132,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
73,66,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
72,65,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
78,69,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
86,77,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
137,122,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
146,129,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
145,125,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
119,109,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
114,105,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
92,81,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
116,100,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
131,120,Dreamhost,4.95,2,0,1,0,0,1,1,1,1,1,1,0
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
0,0,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
22,21,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
48,41,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
55,51,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
68,61,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
70,65,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
67,57,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
69,63,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
60,59,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
62,58,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
51,46,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
86,80,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
67,61,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
76,69,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
61,56,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
72,67,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
80,73,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
75,63,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
74,68,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
64,60,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
72,64,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
57,54,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
65,63,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
71,64,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
69,60,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
85,80,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
85,77,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
86,80,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
80,72,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
58,56,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
56,52,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
43,42,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
77,75,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
84,76,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
76,70,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
51,45,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
40,36,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
41,40,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
38,35,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
79,72,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
100,97,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
75,70,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
65,57,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
66,58,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
48,42,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
55,52,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
96,90,HostGator,3.47,3,0,0,0,1,1,1,0,1,1,1,1
25,25,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
30,27,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
28,28,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
21,17,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
32,31,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
25,24,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
15,15,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
24,24,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
34,32,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
25,22,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
19,19,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
15,14,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
21,19,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
18,15,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
26,24,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
25,22,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
24,24,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
25,23,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
39,35,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
23,21,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
25,25,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
32,30,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
48,44,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
50,42,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
39,37,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
38,34,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
26,25,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
21,19,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
31,30,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
35,33,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
43,41,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
41,34,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
34,31,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
30,29,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
26,23,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
29,27,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
39,37,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
40,38,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
38,36,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
44,40,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
53,46,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
36,33,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
35,31,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
42,40,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
40,38,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
40,40,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
30,30,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
32,29,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
26,23,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
36,32,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
48,46,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
38,30,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
48,42,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
36,32,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
35,33,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
27,25,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
41,37,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
40,38,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
45,43,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
40,36,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
20,20,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
20,19,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
33,30,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
24,21,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
34,31,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
58,54,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
38,35,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
44,40,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
44,40,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
34,32,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
20,19,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
45,42,InMotion,4.89,4,0,0,0,1,1,1,1,1,1,1,1
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
0,0,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
15,15,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
25,24,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
17,16,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
17,17,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
31,28,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
31,31,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
24,23,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
21,20,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
28,24,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
28,25,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
26,26,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
36,36,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
23,23,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
34,32,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
21,20,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
16,15,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
25,25,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
36,32,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
31,28,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
40,37,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
32,31,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
36,35,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
30,30,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
26,24,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
27,27,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
52,45,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
35,34,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
33,33,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
31,26,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
34,29,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
30,27,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
29,22,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
36,35,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
33,30,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
31,29,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
29,29,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
46,41,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
29,28,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
25,24,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
39,39,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
45,43,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
49,41,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
28,26,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
36,31,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
19,18,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
20,20,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
37,34,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
24,22,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
37,33,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
14,14,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
22,20,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
25,21,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
26,26,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
26,25,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
38,38,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
38,36,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
30,27,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
26,25,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
23,21,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
25,24,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
35,33,Bluehost,3.95,6,0,0,0,1,1,0,1,1,0,1,0
53,50,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
73,63,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
64,61,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
47,45,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
79,68,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
43,35,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
55,48,GoDaddy,3.99,7,0,0,1,0,0,0,0,1,0,0,0
